INDEX,INPUT-SELECT,INPUT-SELECT,INPUT-RANGE,INPUT-RANGE,DESC,DESC,DESC,DESC,DESC,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT
NO,COMODITY,TANAH,P,K,N-ZA,N-urea,N total,P2O5,K2O,ZA,Urea,SP-36,KCl,NPK 15-10-12,NPK 15-15-15,NPK 16-16-16
1,CABAI MERAH,ANDISOL,R,R,42,79,121,81,150,200,175,225,250,810,540,506
2,CABAI MERAH,ANDISOL,R,S,42,79,121,81,135,200,175,225,225,810,540,506
3,CABAI MERAH,ANDISOL,R,T,42,79,121,81,120,200,175,225,200,810,540,506
4,CABAI MERAH,ANDISOL,S,R,42,79,121,72,150,200,175,200,250,720,480,450
5,CABAI MERAH,ANDISOL,S,S,42,79,121,72,135,200,175,200,225,720,480,450
6,CABAI MERAH,ANDISOL,S,T,42,79,121,72,120,200,175,200,200,720,480,450
7,CABAI MERAH,ANDISOL,T,R,42,79,121,63,150,200,175,175,250,630,420,394
8,CABAI MERAH,ANDISOL,T,S,42,79,121,63,135,200,175,175,225,630,420,394
9,CABAI MERAH,ANDISOL,T,T,42,79,121,63,120,200,175,175,200,630,420,394
10,CABAI MERAH,NON-ANDISOL,R,R,42,90,132,90,180,200,200,250,300,900,600,563
11,CABAI MERAH,NON-ANDISOL,R,S,42,90,132,90,150,200,200,250,250,900,600,563
12,CABAI MERAH,NON-ANDISOL,R,T,42,90,132,90,120,200,200,250,200,900,600,563
13,CABAI MERAH,NON-ANDISOL,S,R,42,90,132,81,180,200,200,225,300,810,540,506
14,CABAI MERAH,NON-ANDISOL,S,S,42,90,132,81,150,200,200,225,250,810,540,506
15,CABAI MERAH,NON-ANDISOL,S,T,42,90,132,81,120,200,200,225,200,810,540,506
16,CABAI MERAH,NON-ANDISOL,T,R,42,90,132,72,180,200,200,200,300,720,480,450
17,CABAI MERAH,NON-ANDISOL,T,S,42,90,132,72,150,200,200,200,250,720,480,450
18,CABAI MERAH,NON-ANDISOL,T,T,42,90,132,72,120,200,200,200,200,720,480,450
19,BAWANG MERAH,ANDISOL,R,R,53,101,154,126,195,250,225,350,325,1260,840,788
20,BAWANG MERAH,ANDISOL,R,S,53,101,154,126,180,250,225,350,300,1260,840,788
21,BAWANG MERAH,ANDISOL,R,T,53,101,154,126,165,250,225,350,275,1260,840,788
22,BAWANG MERAH,ANDISOL,S,R,53,101,154,108,195,250,225,300,325,1080,720,675
23,BAWANG MERAH,ANDISOL,S,S,53,101,154,108,180,250,225,300,300,1080,720,675
24,BAWANG MERAH,ANDISOL,S,T,53,101,154,108,165,250,225,300,275,1080,720,675
25,BAWANG MERAH,ANDISOL,T,R,53,101,154,90,195,250,225,250,325,900,600,563
26,BAWANG MERAH,ANDISOL,T,S,53,101,154,90,180,250,225,250,300,900,600,563
27,BAWANG MERAH,ANDISOL,T,T,53,101,154,90,165,250,225,250,275,900,600,563
28,BAWANG MERAH,NON-ANDISOL,R,R,74,135,209,144,180,350,300,400,300,1440,960,900
29,BAWANG MERAH,NON-ANDISOL,R,S,63,124,187,126,150,300,275,350,250,1260,840,788
